state1,state2,typology,fence,wall,additional_fortification,fortification_description,landmine,bcp,bcp_infrastructure,avdan_2019,hassner_wittenberg_2015,jellissen_gottheil_2013,jones_2012,wikipedia,linnell_et_al_2016
AFG,CHN,1,0,0,0,,4,,0,0,0,0,0,0,0
AFG,IRN,3,0,0,0,,4,"34.707214,61.0042833",2,0,0,0,0,0,0
AFG,PAK,3,0,0,0,,4,"30.9544455,66.4382611",1,0,0,0,0,0,0
AFG,TJK,3,0,0,0,,4,"37.1882856,68.6012927",2,0,0,0,0,0,0
AFG,TKM,3,0,0,0,,4,"35.2564338,62.2769546",2,0,0,0,0,0,0
AFG,UZB,3,0,0,0,,4,"37.2210918,67.4249825",1,0,0,0,0,0,0
AGO,COD,3,0,0,0,,4,"-10.6976478,22.3199301",1,0,0,0,0,0,0
AGO,COG,3,0,0,0,,4,"-4.9891877,12.0568186",1,0,0,0,0,0,0
AGO,NAM,3,0,0,0,,4,"-17.3908379,15.8909645",2,0,0,0,0,0,0
AGO,ZMB,3,0,0,0,,4,"-11.106098,24.0131919",1,0,0,0,0,0,0
ALB,GRC,3,0,0,0,,0,"39.9124363,20.3554651",2,0,0,0,0,0,0
ALB,MKD,3,0,0,0,,0,"41.5626943,20.4918127",2,0,0,0,0,0,0
ALB,MNE,3,0,0,0,,0,"42.017077,19.3729169",2,0,0,0,0,0,0
ALB,XKX,3,0,0,0,,0,"42.155606,20.5441294",2,0,0,0,0,0,0
AND,ESP,3,0,0,0,,0,"42.4348335,1.4711189",2,0,0,0,0,0,0
AND,FRA,3,0,0,0,,0,"42.5591542,1.75348",2,0,0,0,0,0,0
ARE,OMN,5,1,0,0,"2,50-high meshed wire fence topped with barbed wire",0,"24.210991, 55.953890",2,1,1,1,1,1,0
ARE,SAU,5,1,0,0,mesh-fence,0,"24.1269048,51.6168397",2,1,1,1,0,0,0
ARG,BOL,3,0,0,0,,0,"-22.097062,-65.5967526",2,0,0,0,0,0,0
ARG,BRA,3,0,0,0,,0,"-25.599566,-54.5628522",2,0,0,0,0,0,0
ARG,CHL,3,0,0,0,,0,"-32.806364,-70.0678866",1,0,0,0,0,0,0
